Date, Price
Mar 2022,3.612
Feb 2022,2.916
Jan 2022,2.655
Dec 2021,2.272
Nov 2021,2.405
Oct 2021,2.434
Sep 2021,2.109
Aug 2021,1.899
Jul 2021,1.94
Jun 2021,1.907
May 2021,1.8
Apr 2021,1.816
Mar 2021,1.854
Feb 2021,1.939
Jan 2021,1.688
Dec 2020,1.585
Nov 2020,1.322
Oct 2020,1.293
Sep 2020,1.215
Aug 2020,1.25
Jul 2020,1.172
Jun 2020,1.099
May 2020,0.848
Apr 2020,0.837
Mar 2020,1.115
Feb 2020,1.802
Jan 2020,2.008
Dec 2019,2.087
Nov 2019,2.046
Oct 2019,2.003
Sep 2019,1.984
Aug 2019,1.861
Jul 2019,1.969
Jun 2019,1.914
May 2019,2.057
Apr 2019,2.073
Mar 2019,2.087
Feb 2019,2.111
Jan 2019,2.021
Dec 2018,1.954
Nov 2018,2.206
Oct 2018,2.437
Sep 2018,2.246
Aug 2018,2.169
Jul 2018,2.133
Jun 2018,2.145
May 2018,2.205
Apr 2018,2.075
Mar 2018,1.969
Feb 2018,2.088
Jan 2018,2.209
Dec 2017,2.034
Nov 2017,1.961
Oct 2017,1.805
Sep 2017,1.809
Aug 2017,1.63
Jul 2017,1.468
Jun 2017,1.36
May 2017,1.481
Apr 2017,1.572
Mar 2017,1.58
Feb 2017,1.657
Jan 2017,1.761
Dec 2016,1.685
Nov 2016,1.485
Oct 2016,1.58
Sep 2016,1.402
Aug 2016,1.408
Jul 2016,1.297
Jun 2016,1.445
May 2016,1.327
Apr 2016,1.193
Mar 2016,1.208
Feb 2016,1.155
Jan 2016,1.183
Dec 2015,1.275
Nov 2015,1.554
Oct 2015,1.555
Sep 2015,1.509
Aug 2015,1.494
Jul 2015,1.701
Jun 2015,1.871
May 2015,1.929
Apr 2015,1.8
Mar 2015,2.098
Feb 2015,2.233
Jan 2015,1.9
Dec 2014,2.195
Nov 2014,2.594
Oct 2014,2.687
Sep 2014,2.851
Aug 2014,2.922
Jul 2014,2.863
Jun 2014,2.926
May 2014,2.939
Apr 2014,2.938
Mar 2014,3.153
Feb 2014,3.353
Jan 2014,3.237
Dec 2013,3.164
Nov 2013,2.995
Oct 2013,3.029
Sep 2013,3.057
Aug 2013,3.055
Jul 2013,2.996
Jun 2013,2.806
May 2013,2.793
Apr 2013,2.889
Mar 2013,3.137
Feb 2013,3.474
Jan 2013,3.334
Dec 2012,3.145
Nov 2012,3.221
Oct 2012,3.25
Sep 2012,3.236
Aug 2012,3.195
Jul 2012,2.936
Jun 2012,2.697
May 2012,3.008
Apr 2012,3.243
Mar 2012,3.306
Feb 2012,3.293
Jan 2012,3.197
Dec 2011,3.006
Nov 2011,3.258
Oct 2011,3.096
Sep 2011,3.073
Aug 2011,3.089
Jul 2011,3.158
Jun 2011,3.054
May 2011,
Apr 2011,3.296
Mar 2011,3.196
Feb 2011,2.974
Jan 2011,2.804
Dec 2010,2.744
Nov 2010,
Oct 2010,2.384
Sep 2010,2.163
Aug 2010,2.125
Jul 2010,2.046
Jun 2010,2.103
May 2010,2.11
Apr 2010,2.281
Mar 2010,2.219
Feb 2010,2.216
Jan 2010,2.282
Dec 2009,2.148
Nov 2009,2.067
Oct 2009,2.053
Sep 2009,1.857
Aug 2009,1.951
Jul 2009,1.773
Jun 2009,1.849
May 2009,1.54
Apr 2009,1.48
Mar 2009,1.456
Feb 2009,1.607
Jan 2009,1.81
Dec 2008,1.715
Nov 2008,2.288
Oct 2008,2.681
Sep 2008,3.365
Aug 2008,3.456
Jul 2008,3.98
Jun 2008,3.973
May 2008,3.767
Apr 2008,3.543
Mar 2008,3.281
Feb 2008,2.842
Jan 2008,2.832
Dec 2007,2.825
Nov 2007,2.854
Oct 2007,2.525
Sep 2007,2.45
Aug 2007,2.222
Jul 2007,2.261
Jun 2007,2.157
May 2007,2.078
Apr 2007,2.048
Mar 2007,1.943
Feb 2007,1.942
