tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
Table1a,2021.0,3.0,30135.0,33195.0,Allentown/Bethlehem/Easton," PA""""",Tampa," FL (Metropolitan Area)""""",10135.0,14112.0,ABE,PIE,970.0,180.0,81.43,G4,1.0,81.43,G4,1.0,81.43202131013514112ABEPIE
Table1a,2021.0,3.0,30135.0,33195.0,Allentown/Bethlehem/Easton," PA""""",Tampa," FL (Metropolitan Area)""""",10135.0,15304.0,ABE,TPA,970.0,19.0,208.93,DL,0.4659,219.98,UA,0.1193,154.11202131013515304ABETPA
Table1a,2021.0,3.0,30140.0,30194.0,Albuquerque," NM""""",Dallas/Fort Worth," TX""""",10140.0,11259.0,ABQ,DAL,580.0,204.0,184.56,WN,0.9968,184.44,WN,0.9968,184.44202131014011259ABQDAL
Table1a,2021.0,3.0,30140.0,30194.0,Albuquerque," NM""""",Dallas/Fort Worth," TX""""",10140.0,11298.0,ABQ,DFW,580.0,264.0,182.64,AA,0.9774,183.09,AA,0.9774,183.09202131014011298ABQDFW
Table1a,2021.0,3.0,30140.0,30466.0,Albuquerque," NM""""",Phoenix," AZ""""",10140.0,14107.0,ABQ,PHX,328.0,398.0,177.11,WN,0.6061,184.49,AA,0.3939,165.77202131014014107ABQPHX
Table1a,2021.0,3.0,30140.0,30721.0,Albuquerque," NM""""",Boston," MA (Metropolitan Area)""""",10140.0,10721.0,ABQ,BOS,1974.0,153.0,324.97,AA,0.4263,323.73,WN,0.1609,298.20202131014010721ABQBOS
Table1a,2021.0,3.0,30140.0,30721.0,Albuquerque," NM""""",Boston," MA (Metropolitan Area)""""",10140.0,13296.0,ABQ,MHT,1974.0,16.0,315.9,WN,0.7285,270.42,WN,0.7285,270.42202131014013296ABQMHT
Table1a,2021.0,3.0,30140.0,30721.0,Albuquerque," NM""""",Boston," MA (Metropolitan Area)""""",10140.0,14307.0,ABQ,PVD,1974.0,22.0,329.22,WN,0.5415,271.6,WN,0.5415,271.60202131014014307ABQPVD
Table1a,2021.0,3.0,30140.0,30852.0,Albuquerque," NM""""",Washington," DC (Metropolitan Area)""""",10140.0,10821.0,ABQ,BWI,1670.0,159.0,255.89,WN,0.7212,244.89,WN,0.7212,244.89202131014010821ABQBWI
Table1a,2021.0,3.0,30140.0,30852.0,Albuquerque," NM""""",Washington," DC (Metropolitan Area)""""",10140.0,11278.0,ABQ,DCA,1670.0,151.0,291.16,AA,0.4404,296.88,WN,0.3197,247.20202131014011278ABQDCA
Table1a,2021.0,3.0,30140.0,30852.0,Albuquerque," NM""""",Washington," DC (Metropolitan Area)""""",10140.0,12264.0,ABQ,IAD,1670.0,59.0,343.58,UA,0.5646,382.06,WN,0.1402,266.61202131014012264ABQIAD
Table1a,2021.0,3.0,30140.0,30977.0,Albuquerque," NM""""",Chicago," IL""""",10140.0,13232.0,ABQ,MDW,1121.0,99.0,231.66,WN,0.9934,230.85,WN,0.9934,230.85202131014013232ABQMDW
Table1a,2021.0,3.0,30140.0,30977.0,Albuquerque," NM""""",Chicago," IL""""",10140.0,13930.0,ABQ,ORD,1121.0,206.0,241.25,AA,0.6869,229.41,AA,0.6869,229.41202131014013930ABQORD
Table1a,2021.0,3.0,30140.0,31453.0,Albuquerque," NM""""",Houston," TX""""",10140.0,12191.0,ABQ,HOU,759.0,166.0,203.93,WN,0.9712,203.44,WN,0.9712,203.44202131014012191ABQHOU
Table1a,2021.0,3.0,30140.0,31453.0,Albuquerque," NM""""",Houston," TX""""",10140.0,12266.0,ABQ,IAH,759.0,148.0,232.85,UA,0.8512,235.69,WN,0.0447,213.54202131014012266ABQIAH
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,11618.0,ABQ,EWR,1861.0,77.0,342.13,UA,0.3845,382.33,AA,0.3324,296.40202131014011618ABQEWR
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,12197.0,ABQ,HPN,1861.0,3.0,356.92,DL,0.6154,358.24,AA,0.3462,350.22202131014012197ABQHPN
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,12391.0,ABQ,ISP,1861.0,4.0,240.1,WN,0.8049,220.94,WN,0.8049,220.94202131014012391ABQISP
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,12478.0,ABQ,JFK,1861.0,177.0,251.78,B6,0.8338,234.07,B6,0.8338,234.07202131014012478ABQJFK
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,12953.0,ABQ,LGA,1861.0,125.0,295.22,AA,0.5013,302.37,WN,0.2145,229.04202131014012953ABQLGA
Table1a,2021.0,3.0,30140.0,31703.0,Albuquerque," NM""""",New York City," NY (Metropolitan Area)""""",10140.0,15070.0,ABQ,SWF,1861.0,0.0,427.5,AA,1.0,427.5,AA,1.0,427.50202131014015070ABQSWF
Table1a,2021.0,3.0,30140.0,32457.0,Albuquerque," NM""""",San Francisco," CA (Metropolitan Area)""""",10140.0,13796.0,ABQ,OAK,896.0,216.0,194.36,WN,0.9638,193.2,WN,0.9638,193.20202131014013796ABQOAK
